"tx size","size fee (IOV)","price increase compared to anti spam"
370432,272.9245,546.8491
370688,273.3029,547.6059
370944,273.6816,548.3632
371200,274.0605,549.1211
371456,274.4397,549.8795
371712,274.8192,550.6384
371968,275.1989,551.3978
372224,275.5789,552.1578
372480,275.9591,552.9182
372736,276.3396,553.6792
372992,276.7204,554.4408
373248,277.1014,555.2028
373504,277.4827,555.9654
373760,277.8643,556.7285
374016,278.2461,557.4921
374272,278.6281,558.2563
374528,279.0105,559.0210
374784,279.3931,559.7862
375040,279.7759,560.5519
375296,280.1591,561.3181
375552,280.5424,562.0849
375808,280.9261,562.8522
376064,281.3100,563.6200
376320,281.6942,564.3884
376576,282.0786,565.1572
376832,282.4633,565.9266
377088,282.8483,566.6965
377344,283.2335,567.4670
377600,283.6190,568.2379
377856,284.0047,569.0094
378112,284.3907,569.7814
378368,284.7770,570.5540
378624,285.1635,571.3270
378880,285.5503,572.1006
379136,285.9374,572.8747
379392,286.3247,573.6494
379648,286.7123,574.4245
379904,287.1001,575.2002
380160,287.4882,575.9764
380416,287.8766,576.7532
380672,288.2652,577.5304
380928,288.6541,578.3082
381184,289.0433,579.0865
381440,289.4327,579.8653
381696,289.8223,580.6447
381952,290.2123,581.4246
382208,290.6025,582.2050
382464,290.9929,582.9859
382720,291.3837,583.7673
382976,291.7747,584.5493
383232,292.1659,585.3318
383488,292.5574,586.1148
383744,292.9492,586.8984
384000,293.3412,587.6825
384256,293.7335,588.4671
384512,294.1261,589.2522
384768,294.5189,590.0378
385024,294.9120,590.8240
385280,295.3053,591.6107
385536,295.6990,592.3979
385792,296.0928,593.1857
386048,296.4870,593.9739
386304,296.8814,594.7627
386560,297.2760,595.5520
386816,297.6709,596.3419
387072,298.0661,597.1322
387328,298.4616,597.9231
387584,298.8573,598.7145
387840,299.2532,599.5065
388096,299.6495,600.2989
388352,300.0460,601.0919
388608,300.4427,601.8854
388864,300.8397,602.6795
389120,301.2370,603.4740
389376,301.6346,604.2691
389632,302.0324,605.0647
389888,302.4304,605.8608
390144,302.8287,606.6575
390400,303.2273,607.4547
390656,303.6262,608.2524
390912,304.0253,609.0506
391168,304.4247,609.8494
391424,304.8243,610.6486
391680,305.2242,611.4484
391936,305.6244,612.2488
392192,306.0248,613.0496
392448,306.4255,613.8510
392704,306.8264,614.6529
392960,307.2277,615.4553
393216,307.6291,616.2583
393472,308.0309,617.0617
393728,308.4329,617.8657
393984,308.8351,618.6702
394240,309.2376,619.4753
394496,309.6404,620.2809
394752,310.0435,621.0870
395008,310.4468,621.8936
395264,310.8504,622.7007
395520,311.2542,623.5084
395776,311.6583,624.3166
396032,312.0626,625.1253
396288,312.4673,625.9345
396544,312.8721,626.7443
396800,313.2773,627.5546
397056,313.6827,628.3654
397312,314.0884,629.1767
397568,314.4943,629.9886
397824,314.9005,630.8010
398080,315.3069,631.6139
398336,315.7137,632.4273
398592,316.1206,633.2413
398848,316.5279,634.0557
399104,316.9354,634.8707
399360,317.3431,635.6863
399616,317.7512,636.5023
399872,318.1595,637.3189
400128,318.5680,638.1360
400384,318.9768,638.9536
400640,319.3859,639.7718
400896,319.7952,640.5905
401152,320.2048,641.4097
401408,320.6147,642.2294
401664,321.0248,643.0496
401920,321.4352,643.8704
402176,321.8459,644.6917
402432,322.2568,645.5135
402688,322.6679,646.3359
402944,323.0794,647.1587
403200,323.4911,647.9821
403456,323.9030,648.8061
403712,324.3153,649.6305
403968,324.7277,650.4555
404224,325.1405,651.2810
404480,325.5535,652.1070
404736,325.9668,652.9335
404992,326.3803,653.7606
405248,326.7941,654.5882
405504,327.2081,655.4163
405760,327.6225,656.2449
406016,328.0370,657.0741
406272,328.4519,657.9038
406528,328.8670,658.7340
406784,329.2824,659.5647
407040,329.6980,660.3960
407296,330.1139,661.2278
407552,330.5300,662.0601
407808,330.9464,662.8929
408064,331.3631,663.7262
408320,331.7801,664.5601
408576,332.1973,665.3945
408832,332.6147,666.2295
409088,333.0325,667.0649
409344,333.4504,667.9009
409600,333.8687,668.7374
409856,334.2872,669.5744
410112,334.7060,670.4120
410368,335.1250,671.2500
410624,335.5443,672.0886
410880,335.9639,672.9278
411136,336.3837,673.7674
411392,336.8038,674.6076
411648,337.2241,675.4483
411904,337.6447,676.2895
412160,338.0656,677.1312
412416,338.4868,677.9735
412672,338.9082,678.8163
412928,339.3298,679.6596
413184,339.7517,680.5035
413440,340.1739,681.3478
413696,340.5964,682.1927
413952,341.0191,683.0381
414208,341.4420,683.8841
414464,341.8653,684.7305
414720,342.2888,685.5775
414976,342.7125,686.4250
415232,343.1365,687.2731
415488,343.5608,688.1216
415744,343.9854,688.9707
416000,344.4102,689.8203
416256,344.8352,690.6705
416512,345.2606,691.5211
416768,345.6861,692.3723
417024,346.1120,693.2240
417280,346.5381,694.0762
417536,346.9645,694.9290
417792,347.3911,695.7823
418048,347.8180,696.6361
418304,348.2452,697.4904
418560,348.6726,698.3452
418816,349.1003,699.2006
419072,349.5283,700.0565
419328,349.9565,700.9129
419584,350.3849,701.7699
419840,350.8137,702.6274
420096,351.2427,703.4854
420352,351.6719,704.3439
420608,352.1015,705.2029
420864,352.5313,706.0625
421120,352.9613,706.9226
421376,353.3916,707.7832
421632,353.8222,708.6444
421888,354.2530,709.5060
422144,354.6841,710.3682
422400,355.1155,711.2309
422656,355.5471,712.0942
422912,355.9790,712.9579
423168,356.4111,713.8222
423424,356.8435,714.6870
423680,357.2762,715.5524
423936,357.7091,716.4182
424192,358.1423,717.2846
424448,358.5758,718.1515
